filename	well	value
FT01-G01	A01	887763
FT01-G01	A02	958308
FT01-G01	A03	1012685
FT01-G01	A04	872603
FT01-G01	A05	1179875
FT01-G01	A06	1213279
FT01-G01	A07	1182103
FT01-G01	A08	1353041
FT01-G01	A09	1236055
FT01-G01	A10	1228895
FT01-G01	A11	1308768
FT01-G01	A12	1313472
FT01-G01	A13	1404374
FT01-G01	A14	1365861
FT01-G01	A15	1264420
FT01-G01	A16	1297588
FT01-G01	A17	1227255
FT01-G01	A18	1278484
FT01-G01	A19	1324293
FT01-G01	A20	1351273
FT01-G01	A21	968428
FT01-G01	A22	1186359
FT01-G01	A23	824854
FT01-G01	A24	1183171
FT01-G01	B01	1564296
FT01-G01	B02	181410
FT01-G01	B03	1406418
FT01-G01	B04	1340509
FT01-G01	B05	1306448
FT01-G01	B06	1323229
FT01-G01	B07	1323541
FT01-G01	B08	1295092
FT01-G01	B09	1365277
FT01-G01	B10	1306384
FT01-G01	B11	1321248
FT01-G01	B12	1331889
FT01-G01	B13	1309220
FT01-G01	B14	1395601
FT01-G01	B15	1364373
FT01-G01	B16	1357489
FT01-G01	B17	1298604
FT01-G01	B18	1336185
FT01-G01	B19	1298916
FT01-G01	B20	1319608
FT01-G01	B21	1358073
FT01-G01	B22	1083541
FT01-G01	B23	1424250
FT01-G01	B24	1405074
FT01-G01	C01	1517247
FT01-G01	C02	1462366
FT01-G01	C03	1339037
FT01-G01	C04	1337825
FT01-G01	C05	1337681
FT01-G01	C06	1355461
FT01-G01	C07	1406534
FT01-G01	C08	1426886
FT01-G01	C09	1336241
FT01-G01	C10	1374785
FT01-G01	C11	1298092
FT01-G01	C12	1297592
FT01-G01	C13	1327585
FT01-G01	C14	1361789
FT01-G01	C15	1395225
FT01-G01	C16	1300976
FT01-G01	C17	1334641
FT01-G01	C18	1344157
FT01-G01	C19	1197571
FT01-G01	C20	1310184
FT01-G01	C21	1351685
FT01-G01	C22	1320504
FT01-G01	C23	1415418
FT01-G01	C24	1404778
FT01-G01	D01	1492343
FT01-G01	D02	1482195
FT01-G01	D03	1380753
FT01-G01	D04	1352261
FT01-G01	D05	1249060
FT01-G01	D06	1130038
FT01-G01	D07	1358121
FT01-G01	D08	1441954
FT01-G01	D09	1393581
FT01-G01	D10	1439422
FT01-G01	D11	1353937
FT01-G01	D12	1233203
FT01-G01	D13	1240415
FT01-G01	D14	1337617
FT01-G01	D15	1464794
FT01-G01	D16	1319100
FT01-G01	D17	1370481
FT01-G01	D18	1341465
FT01-G01	D19	1340485
FT01-G01	D20	1328249
FT01-G01	D21	1321765
FT01-G01	D22	1373557
FT01-G01	D23	1335793
FT01-G01	D24	930907
FT01-G01	E01	1522367
FT01-G01	E02	1460474
FT01-G01	E03	1419218
FT01-G01	E04	1309840
FT01-G01	E05	1381233
FT01-G01	E06	1310648
FT01-G01	E07	1367333
FT01-G01	E08	1411690
FT01-G01	E09	1329169
FT01-G01	E10	1324021
FT01-G01	E11	1435414
FT01-G01	E12	1279476
FT01-G01	E13	1263968
FT01-G01	E14	1295172
FT01-G01	E15	1251052
FT01-G01	E16	1386513
FT01-G01	E17	1274164
FT01-G01	E18	1355437
FT01-G01	E19	1446450
FT01-G01	E20	1357801
FT01-G01	E21	1309860
FT01-G01	E22	1322805
FT01-G01	E23	1418862
FT01-G01	E24	1478939
FT01-G01	F01	1596088
FT01-G01	F02	1528695
FT01-G01	F03	1402578
FT01-G01	F04	1333905
FT01-G01	F05	1373009
FT01-G01	F06	1405266
FT01-G01	F07	1368537
FT01-G01	F08	1291800
FT01-G01	F09	1318432
FT01-G01	F10	1325733
FT01-G01	F11	1290532
FT01-G01	F12	1251168
FT01-G01	F13	1222935
FT01-G01	F14	1236111
FT01-G01	F15	1401342
FT01-G01	F16	1442078
FT01-G01	F17	1260444
FT01-G01	F18	1284580
FT01-G01	F19	1305720
FT01-G01	F20	1243327
FT01-G01	F21	1375161
FT01-G01	F22	1390121
FT01-G01	F23	1518375
FT01-G01	F24	1472982
FT01-G01	G01	1605796
FT01-G01	G02	1490451
FT01-G01	G03	1460550
FT01-G01	G04	1355217
FT01-G01	G05	1436970
FT01-G01	G06	1383985
FT01-G01	G07	1370541
FT01-G01	G08	1327377
FT01-G01	G09	1395685
FT01-G01	G10	1226815
FT01-G01	G11	1301956
FT01-G01	G12	1301216
FT01-G01	G13	1288464
FT01-G01	G14	1297236
FT01-G01	G15	1315984
FT01-G01	G16	1382053
FT01-G01	G17	1327313
FT01-G01	G18	1358865
FT01-G01	G19	1313644
FT01-G01	G20	1321148
FT01-G01	G21	1224179
FT01-G01	G22	1019685
FT01-G01	G23	1459646
FT01-G01	G24	1416818
FT01-G01	H01	1718434
FT01-G01	H02	1424834
FT01-G01	H03	1397253
FT01-G01	H04	1373233
FT01-G01	H05	1298424
FT01-G01	H06	1373413
FT01-G01	H07	1287140
FT01-G01	H08	1355621
FT01-G01	H09	421957
FT01-G01	H10	1367661
FT01-G01	H11	1255064
FT01-G01	H12	1329429
FT01-G01	H13	1250708
FT01-G01	H14	1260596
FT01-G01	H15	1331217
FT01-G01	H16	1268880
FT01-G01	H17	1277616
FT01-G01	H18	1325845
FT01-G01	H19	1073309
FT01-G01	H20	1396593
FT01-G01	H21	1311724
FT01-G01	H22	1391389
FT01-G01	H23	1417478
FT01-G01	H24	1496915
FT01-G01	I01	1607736
FT01-G01	I02	1428582
FT01-G01	I03	1390009
FT01-G01	I04	1394945
FT01-G01	I05	1353201
FT01-G01	I06	1353205
FT01-G01	I07	1388961
FT01-G01	I08	1171699
FT01-G01	I09	1457654
FT01-G01	I10	1320400
FT01-G01	I11	1211539
FT01-G01	I12	1327057
FT01-G01	I13	1354221
FT01-G01	I14	1318208
FT01-G01	I15	1301920
FT01-G01	I16	1302532
FT01-G01	I17	1281872
FT01-G01	I18	1236523
FT01-G01	I19	1357821
FT01-G01	I20	1352241
FT01-G01	I21	1332009
FT01-G01	I22	1371665
FT01-G01	I23	1449002
FT01-G01	I24	1528751
FT01-G01	J01	1687145
FT01-G01	J02	1611936
FT01-G01	J03	1509795
FT01-G01	J04	1443746
FT01-G01	J05	1460434
FT01-G01	J06	1350557
FT01-G01	J07	1365977
FT01-G01	J08	1387185
FT01-G01	J09	1131770
FT01-G01	J10	1228919
FT01-G01	J11	1324997
FT01-G01	J12	1336765
FT01-G01	J13	1287400
FT01-G01	J14	1352985
FT01-G01	J15	1359397
FT01-G01	J16	1276704
FT01-G01	J17	1365725
FT01-G01	J18	1432490
FT01-G01	J19	1272608
FT01-G01	J20	1330557
FT01-G01	J21	1401598
FT01-G01	J22	1392849
FT01-G01	J23	1514287
FT01-G01	J24	1486099
FT01-G01	K01	1593128
FT01-G01	K02	1529655
FT01-G01	K03	1425362
FT01-G01	K04	1410194
